Competition 1,Competition 2,Competition 3,Competition 4,competition 5,competition 6,competition 7,competition 8,competition 9,competition 10,competition 11,competition 12,# of competition,successful or not,keywords
67476,70826,11848,736065,126253,793870,77830,26277,767472,244552,1000000,1000000,10,0,College Vegetarian Cookbook Quick PlantBased Recipes Every College 
1495819,107416,2601,765596,560059,1757665,759473,1935470,669122,8439,1782032,42956,18,0,Pasta Salad The Ultimate Guide 
1952,41374,7156,55071,18859,1000000,681,58633,34995,15010,32010,2601,202,1,Keto Meal Prep Cookbook For Beginners Easy Simple 
77402,124984,266764,216573,552687,45517,52265,1000000,1000000,1000000,1000000,1000000,7,1,Vegetarian Keto Diet Beginners TOP Amazing Simple Recipes 
51494,556848,50489,550422,182310,841522,262222,172269,164172,780624,2375025,320114,17,0,Gastric Sleeve Bariatric Surgery Cookbook The Complete Guide 
730187,58807,3287943,488704,1000000,2594223,5128270,2927443,101741,75819,2789013,1000000,11,0,Nutribullet Recipe Book Smoothie Recipes WeightLoss Detox AntiAging 
870875,215378,642766,140710,93841,183153,2275621,396905,442705,328422,852237,1329805,19,0,PlantBased Diet The Essential Cookbook Beginners Healthy Recipes 
57117,470231,14460,72656,19690,360557,5530,494259,17559,28558,95418,12730,191,1,Keto Instant Pot Recipes Cookbook The Easy Electric 
8425,103649,250483,236397,317,340283,12247,30162,27453,9276,32816,132165,22,1,DASH Diet Dummies Easy Recipes Day Diet Meal 
2601,224294,5455,13887,12749,510367,20823,32166,90841,4883908,1100,9276,436,1,Days Salad Recipes A Salad Cookbook Over Salad 
1619334,2610794,1736849,4883908,1070838,193458,800030,2365967,239542,1741103,1000000,1000000,10,0,Delicious Salads Dressings And Dips Healthy Salad Recipes 
79915,99879,358774,1729001,4883908,1500859,277676,1005728,104876,1750739,1790019,482160,204,0,Homemade Salad Dressing Recipes A Salad Dressings Cookbook 
888917,704359,79915,93553,4883908,547613,934,84149,301812,1364169,398642,277676,21,0,The Mediterranean Salad Cookbook Salads Salad Dressings Healthy 
1000000,135579,90117,1084,373163,785818,77416,872927,19863,597201,13183,254860,25,1,PlantBased Diet Cookbook Beginners Day Meal Plan Energize 
111676,671547,521752,130699,53411,232409,53309,741490,59898,124984,188463,180722,28,0,FAST EASY VEGETARIAN MEAL PREP Weekly Plans Recipes 
21953,353977,137931,905095,103449,15793,334842,858729,560559,445362,60997,52265,35,1,Vegan Cookbook Delicious Vegan Glutenfree Breakfast Lunch Dinner 
247312,337864,33843,215378,22117,77830,76104,196090,491088,77269,188560,77402,39,1,Keto Vegetarian Cookbook Easy Delicious LowCarb Vegetarian Recipes 
287289,724,989531,107420,107420,36807,116196,872927,1085142,1000000,1000000,1000000,9,0,Vegan Athlete Cookbook HighProtein Delicious Recipes Your Workouts 
26277,128859,14460,98209,638131,285290,282880,655498,537667,31518,113538,1000000,672,0,Corn Cookbook 
1996377,2594456,1141155,401897,2070473,7817,283466,151402,563982,1871594,1350696,1000000,11,0,The Quick Easy Spiralizer Cookbook Vegetable Noodle Recipes 
9276,266904,207381,1000000,150529,378563,602693,1130505,220755,1035072,560059,330458,29,0,The Alkaline Diet Ultimate Guide Beginners Healthy Recipes 
569224,4018205,2839281,2537109,1872197,1443584,1216842,3187523,2664672,1000000,1000000,1000000,9,0,Green Salads Quick Easy Gluten Free Low Cholesterol 
15960,6966,524777,55071,872927,19863,100693,48092,15960,287260,67476,373163,422,1,Plant Based Cookbook Plant Based Cookbook Beginners Weeks 
130699,193458,37927,473068,13183,115033,418046,77830,724,124984,32166,38743,52,1,Superfood Cookbook Delicious Vegetarian Superfood Salads Easy Weight 
682149,52689,568275,671547,430397,254860,15793,402465,1260625,28680,1000000,1000000,10,1,Plant Based Meal Prep Healthy PlantBased Recipes Cleanse 
53411,60997,106049,229391,19175,19863,159448,257575,22117,83460,111676,120574,22,1,THE PLANTBASED DIET COOKBOOK FOR BEGINNERS An Inspiring 
572649,238998,4883908,1029108,104876,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,Hello Macaroni Salad Recipes Best Macaroni Salad Cookbook 
587256,4883908,1082875,277676,1849835,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,Hello Main Dish Salad Recipes Best Main Dish 
450991,427818,437061,562526,53411,920434,530391,1182701,425666,695063,3880,28680,142,1,Plant Based High Protein Cookbook Delicious Vegan Recipes 
744275,2886391,2475013,2700868,1052887,160618,482742,180722,1778331,20386,787142,2455348,26,0,Vegan Salads Over Vegan Quick Easy Gluten Free 
50242,53309,746298,395270,9276,124984,1000000,56564,26298,2482,17140,681,495,1,The Complete Keto For Two Cookbook For Beginners 
85931,300747,175822,793577,123643,958466,121453,386388,1088126,639587,1313378,1236826,43,0,Spiralizer Spiralizer Cookbook Healthy And Delicious Spiralizer Recipes 
107420,4883908,104876,63271,427818,168327,418046,318375,37927,22117,1085142,116196,56,1,Salad Cookbook Delicious High Protein Vegetarian Salad Recipes 
171547,21953,277676,13485,10410,42390,4672,767643,1574,10205,39114,187401,84,1,Keep It Vegan 
83460,1091174,121453,381290,1084,113538,920033,140722,32166,703343,466177,1000000,11,1,Zucchini Cookbook Family Zucchini Recipe Book Tasty Easy 
134622,9276,1117824,636310,32166,22061,1766,11921,13485,20823,473068,117293,105,1,Superfood Salad Recipes A Clean Eating Cookbook Easy 
2894657,117766,744275,2439154,2159758,2446977,66636,180722,1821156,4574102,2351160,2416114,54,0,Superfoods Salads In A Jar Over Quick Easy 
3610,249452,414060,10094,2601,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,1,LAZY KETO DIET FOR VEGANS Top Quick Easy 
7123,28680,8126,5503,48388,3236,15793,1283,17441,41336,2125,407,91,1,PlantBased Budget Delicious Vegan Recipes Under Week Less 
13887,1490613,35518,1252807,163270,154448,449528,52689,724,796520,358478,4672,17,1,PlantBased Nutrition E Idiots Guides 
171698,21766,45880,287260,25947,37927,113538,1000000,1000000,1000000,1000000,1000000,7,1,The Oh She Glows Cookbook Over Vegan Recipes 
172002,2243927,448197,28680,42713,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,1,BOSH Simple Recipes Amazing Food All Plants BOSH 
128643,15960,13887,6966,44140,36415,107420,3880,96286,293449,33914,13183,14,1,Forks Over Knives The PlantBased Way Health 
825346,626110,1071628,938764,587205,1932639,1186725,215032,1982681,1000000,1000000,1000000,9,0,PLANTLAB 
19175,45880,413303,2696,25947,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,1,Rachel Ama ’ Vegan Eats Tasty plantbased recipes 
634160,445362,287260,26277,254860,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,1,The Vegan Instant Pot Cookbook Wholesome Indulgent PlantBased 
15960,15960,13887,287260,36807,3880,33914,432680,6966,13183,122324,26277,33,1,Forks Over Knives—The Cookbook Over Recipes PlantBased Eating 
37927,54282,50842,3553,107420,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,1,Thug Kitchen The Official Cookbook Eat Like You 
618,37621,13485,37927,13887,54282,1000000,1000000,1000000,1000000,1000000,1000000,6,1,Thug Kitchen Fast Fck A Cookbook Thug Kitchen 
21953,355997,665499,15793,417307,5455,1479798,5530,21766,25947,20386,225475,178,1,The Easy Vegan Cookbook Make Healthy Home Cooking 
33914,318960,37927,15960,1000000,75771,203715,34146,13485,13887,25947,297491,102,1,The No Meat Athlete Cookbook Whole Food PlantBased 
